AAA028I14.genome.CDS.1460,group04605
AAA028I14.genome.CDS.1461,group04604
AAA028I14.genome.CDS.1462,group04603
AAA028I14.genome.CDS.1463,group03609
AAA028I14.genome.CDS.1464,group02388
AAA028I14.genome.CDS.1465,group04602
AAA028I14.genome.CDS.1467,group04613
AAA028I14.genome.CDS.1468,group00174
AAA028I14.genome.CDS.1469,group01018
AAA028I14.genome.CDS.1390,group00271
AAA028I14.genome.CDS.1111,group00386
AAA028I14.genome.CDS.952,group01423
AAA028I14.genome.CDS.953,group00204
AAA028I14.genome.CDS.950,group00670
AAA028I14.genome.CDS.951,group01676
AAA028I14.genome.CDS.956,group03057
AAA028I14.genome.CDS.957,group03449
AAA028I14.genome.CDS.954,group03918
AAA028I14.genome.CDS.955,group01038
AAA028I14.genome.CDS.1543,group00796
AAA028I14.genome.CDS.1396,group00074
AAA028I14.genome.CDS.1541,group02859
AAA028I14.genome.CDS.1540,group02249
AAA028I14.genome.CDS.1547,group00429
AAA028I14.genome.CDS.1546,group00260
AAA028I14.genome.CDS.1545,group02934
AAA028I14.genome.CDS.1544,group01551
AAA028I14.genome.CDS.1330,group00914
AAA028I14.genome.CDS.1394,group00947
AAA028I14.genome.CDS.1368,group00765
AAA028I14.genome.CDS.937,group13337
AAA028I14.genome.CDS.1193,group00273
AAA028I14.genome.CDS.1253,group00749
AAA028I14.genome.CDS.1252,group00185
AAA028I14.genome.CDS.819,group00786
AAA028I14.genome.CDS.1041,group03744
AAA028I14.genome.CDS.1523,group01963
AAA028I14.genome.CDS.826,group00020
AAA028I14.genome.CDS.827,group00814
AAA028I14.genome.CDS.1383,group00782
AAA028I14.genome.CDS.825,group00021
AAA028I14.genome.CDS.1385,group00100
AAA028I14.genome.CDS.823,group01133
AAA028I14.genome.CDS.1387,group00700
AAA028I14.genome.CDS.821,group01023
AAA028I14.genome.CDS.1389,group00675
AAA028I14.genome.CDS.1257,group00270
AAA028I14.genome.CDS.1337,group00756
AAA028I14.genome.CDS.828,group00653
AAA028I14.genome.CDS.829,group00822
AAA028I14.genome.CDS.996,group01481
AAA028I14.genome.CDS.1527,group00013
AAA028I14.genome.CDS.1339,group00773
AAA028I14.genome.CDS.1254,group00997
AAA028I14.genome.CDS.994,group00717
AAA028I14.genome.CDS.928,group13327
AAA028I14.genome.CDS.1232,group00406
AAA028I14.genome.CDS.992,group00436
AAA028I14.genome.CDS.1234,group00721
AAA028I14.genome.CDS.1266,group00474
AAA028I14.genome.CDS.1267,group01236
AAA028I14.genome.CDS.1264,group00729
AAA028I14.genome.CDS.1265,group01081
AAA028I14.genome.CDS.1262,group00887
AAA028I14.genome.CDS.990,group00389
AAA028I14.genome.CDS.1149,group00880
AAA028I14.genome.CDS.1261,group00790
AAA028I14.genome.CDS.1147,group00133
AAA028I14.genome.CDS.1146,group00831
AAA028I14.genome.CDS.1145,group00480
AAA028I14.genome.CDS.991,group00431
AAA028I14.genome.CDS.1143,group00323
AAA028I14.genome.CDS.1142,group00484
AAA028I14.genome.CDS.1268,group01235
AAA028I14.genome.CDS.1269,group00744
AAA028I14.genome.CDS.1510,group03857
AAA028I14.genome.CDS.1392,group00717
AAA028I14.genome.CDS.1511,group13325
AAA028I14.genome.CDS.733,group00876
AAA028I14.genome.CDS.1109,group00050
AAA028I14.genome.CDS.1513,group13323
AAA028I14.genome.CDS.830,group00779
AAA028I14.genome.CDS.1393,group00039
AAA028I14.genome.CDS.1200,group00059
AAA028I14.genome.CDS.1168,group02790
AAA028I14.genome.CDS.1451,group04612
AAA028I14.genome.CDS.1318,group13295
AAA028I14.genome.CDS.1319,group13294
AAA028I14.genome.CDS.1102,group00320
AAA028I14.genome.CDS.1312,group00019
AAA028I14.genome.CDS.1204,group00299
AAA028I14.genome.CDS.1310,group00101
AAA028I14.genome.CDS.1311,group00077
AAA028I14.genome.CDS.1316,group02852
AAA028I14.genome.CDS.1317,group13296
AAA028I14.genome.CDS.1314,group03144
AAA028I14.genome.CDS.1315,group13297
AAA028I14.genome.CDS.1452,group04611
AAA028I14.genome.CDS.1478,group01019
AAA028I14.genome.CDS.1107,group00410
AAA028I14.genome.CDS.1106,group00718
AAA028I14.genome.CDS.1208,group00257
AAA028I14.genome.CDS.1105,group01015
AAA028I14.genome.CDS.1209,group00362
AAA028I14.genome.CDS.1104,group00217
AAA028I14.genome.CDS.1391,group00239
AAA028I14.genome.CDS.909,group00546
AAA028I14.genome.CDS.908,group00022
AAA028I14.genome.CDS.1443,group13312
AAA028I14.genome.CDS.1037,group04594
AAA028I14.genome.CDS.1036,group04592
AAA028I14.genome.CDS.1035,group04593
AAA028I14.genome.CDS.1034,group04594
AAA028I14.genome.CDS.1032,group01233
AAA028I14.genome.CDS.1031,group01854
AAA028I14.genome.CDS.1030,group04953
AAA028I14.genome.CDS.1298,group00485
AAA028I14.genome.CDS.1039,group04592
AAA028I14.genome.CDS.1038,group04593
AAA028I14.genome.CDS.1587,group00588
AAA028I14.genome.CDS.1586,group00423
AAA028I14.genome.CDS.1585,group00585
AAA028I14.genome.CDS.1584,group00600
AAA028I14.genome.CDS.1428,group00462
AAA028I14.genome.CDS.1429,group00298
AAA028I14.genome.CDS.1581,group00556
AAA028I14.genome.CDS.1580,group00527
AAA028I14.genome.CDS.1424,group00622
AAA028I14.genome.CDS.1425,group00875
AAA028I14.genome.CDS.1426,group00667
AAA028I14.genome.CDS.1427,group00494
AAA028I14.genome.CDS.1420,group00549
AAA028I14.genome.CDS.868,group00559
AAA028I14.genome.CDS.1422,group00463
AAA028I14.genome.CDS.1588,group00741
AAA028I14.genome.CDS.1150,group00183
AAA028I14.genome.CDS.902,group00487
AAA028I14.genome.CDS.1151,group00606
AAA028I14.genome.CDS.1110,group00139
AAA028I14.genome.CDS.926,group13317
AAA028I14.genome.CDS.1259,group00789
AAA028I14.genome.CDS.1459,group04606
AAA028I14.genome.CDS.1458,group03145
AAA028I14.genome.CDS.1512,group13324
AAA028I14.genome.CDS.1108,group00333
AAA028I14.genome.CDS.1514,group13322
AAA028I14.genome.CDS.1515,group13326
AAA028I14.genome.CDS.1516,group02087
AAA028I14.genome.CDS.1517,group00872
AAA028I14.genome.CDS.1103,group00206
AAA028I14.genome.CDS.1450,group04601
AAA028I14.genome.CDS.1101,group02356
AAA028I14.genome.CDS.1100,group00184
AAA028I14.genome.CDS.1455,group04609
AAA028I14.genome.CDS.1454,group02853
AAA028I14.genome.CDS.1457,group04607
AAA028I14.genome.CDS.1456,group04608
AAA028I14.genome.CDS.862,group00988
AAA028I14.genome.CDS.863,group04962
AAA028I14.genome.CDS.860,group00942
AAA028I14.genome.CDS.861,group00926
AAA028I14.genome.CDS.866,group01628
AAA028I14.genome.CDS.867,group01151
AAA028I14.genome.CDS.864,group00760
AAA028I14.genome.CDS.865,group00711
AAA028I14.genome.CDS.901,group01089
AAA028I14.genome.CDS.900,group00496
AAA028I14.genome.CDS.903,group00001
AAA028I14.genome.CDS.869,group01209
AAA028I14.genome.CDS.905,group13303
AAA028I14.genome.CDS.904,group00568
AAA028I14.genome.CDS.907,group00828
AAA028I14.genome.CDS.906,group00003
AAA028I14.genome.CDS.1250,group00483
AAA028I14.genome.CDS.1549,group00553
AAA028I14.genome.CDS.1548,group01011
AAA028I14.genome.CDS.930,group13340
AAA028I14.genome.CDS.1542,group00687
AAA028I14.genome.CDS.958,group00418
AAA028I14.genome.CDS.931,group01388
AAA028I14.genome.CDS.959,group00528
AAA028I14.genome.CDS.1356,group00120
